case,sequence,condition,model,runs,n,before_m,after_m_mean,gain_pct_mean,gain_pct_std,r2_mean
dense_same_sequence_future,V103,drop25,Mean,1,194,1.2656376121041237,1.2642598218069525,0.10886135841685629,0.0,-0.013773635004322493
dense_same_sequence_future,V103,drop50,Mean,1,119,1.1401495795862606,1.1426186856449227,-0.2165598359083809,0.0,-0.017200034310279833
dense_same_sequence_future,V103,nominal,Ridge,1,268,1.2771386185040177,0.664002915686512,48.008547696702266,0.0,0.7269778882506752
dense_same_sequence_future,V103,drop25,Ridge,1,194,1.2656376121041237,1.0106133945917242,20.149860834842094,0.0,0.35220376437588785
dense_same_sequence_future,V103,drop50,Ridge,1,119,1.1401495795862606,1.2938267548180709,-13.47868542718551,0.0,-0.30423538090479907
dense_same_sequence_future,V103,nominal,DenseCfC_fixed,3,268,1.2771386185040177,1.2585499311629027,1.455494890827824,5.626615749214385,0.015961057253054706
dense_same_sequence_future,V103,drop25,DenseCfC_fixed,3,194,1.2656376121041237,1.2499637934243637,1.2384128387036732,4.04127616812816,0.007364588925286871
dense_same_sequence_future,V103,drop50,DenseCfC_fixed,3,119,1.1401495795862606,1.1041745330521682,3.155291829967355,1.6394161467854964,0.049824973809162655
dense_same_sequence_future,V103,nominal,DenseCfC_time,3,268,1.2771386185040177,1.2732223151238304,0.3066466962509155,3.8945226185467874,-0.005376183762482241
dense_same_sequence_future,V103,drop25,DenseCfC_time,3,194,1.2656376121041237,1.2703638653294498,-0.3734286323451334,2.8127884421739093,-0.024390405927172527
dense_same_sequence_future,V103,drop50,DenseCfC_time,3,119,1.1401495795862606,1.1370817104044442,0.26907602622890936,2.9487009763517174,-0.008246114314952738
